date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:58	16269/16269	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:55:57%20GMT	http://gmpg.org/xfn/intro	D:/proretia.it_static/proretia.it/gmpg.org/xfn/intro.html	(from http://gmpg.org/xfn/11)
19:55:58	7342/7342	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:55:57%20GMT	http://gmpg.org/xfn/faq	D:/proretia.it_static/proretia.it/gmpg.org/xfn/faq.html	(from http://gmpg.org/xfn/11)
19:55:58	58200/58200	U--M-Z	200	updated ('OK')	text/css	etag:%22e358-5bd96fe559319-gzip%22	http://192.168.0.92/wp-includes/css/dist/block-library/style.min.css?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/css/dist/block-library/style.mine23c.css	(from http://192.168.0.92/)
19:55:58	161220/161220	U--M-Z	200	updated ('OK')	text/css	etag:%22275c4-5ba0e1281fd2a-gzip%22	http://192.168.0.92/wp-content/themes/mesmerize/style.min.css?ver=1.6.105	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/style.min7403.css	(from http://192.168.0.92/)
19:55:58	103256/103256	U--M-Z	200	updated ('OK')	text/css	etag:%2219358-5ba0e1188b8a9-gzip%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min7403.css	(from http://192.168.0.92/)
19:55:58	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2015%20Mar%202021%2018:55:57%20GMT	http://fonts.googleapis.com/robots.txt		(from http://192.168.0.92/)
19:55:59	89496/89496	U--M-Z	200	updated ('OK')	application/javascript	etag:%2215d98-5b712fca997b9-gzip%22	http://192.168.0.92/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/jquery/jquery.min9d52.js	(from http://192.168.0.92/)
19:55:59	11224/11224	U--M-Z	200	updated ('OK')	application/javascript	etag:%222bd8-5b712fca92a59-gzip%22	http://192.168.0.92/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://192.168.0.92/)
19:55:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2018:55:58%20GMT	http://s.w.org/robots.txt		(from http://192.168.0.92/)
19:55:59	98323/98323	U--MC-	200	updated ('OK')	application/json	date:Mon,%2015%20Mar%202021%2018:55:58%20GMT	http://192.168.0.92/index.php/wp-json/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/index.html	(from http://192.168.0.92/)
19:55:59	790/790	U--M-Z	200	updated ('OK')	text/xml	date:Mon,%2015%20Mar%202021%2018:55:59%20GMT	http://192.168.0.92/xmlrpc.php?rsd	D:/proretia.it_static/proretia.it/192.168.0.92/xmlrpc0db0.php	(from http://192.168.0.92/)
19:55:59	31076/31076	U--MC-	200	updated ('OK')	application/json	date:Mon,%2015%20Mar%202021%2018:55:58%20GMT	http://192.168.0.92/index.php/wp-json/wp/v2/pages/6	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/wp/v2/pages/6.json	(from http://192.168.0.92/)
19:55:59	1045/1045	U--M-Z	200	updated ('OK')	application/xml	etag:%22415-5b712fc687813-gzip%22	http://192.168.0.92/wp-includes/wlwmanifest.xml	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/wlwmanifest.xml	(from http://192.168.0.92/)
19:56:00	2228/2228	U-----	200	untouched ('')	application/json	date:Mon,%2015%20Mar%202021%2018:47:39%20GMT	http://192.168.0.92/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2F192.168.0.92%2F	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/oembed/1.0/embed1bcc.json	(from http://192.168.0.92/)
19:56:00	19481/19481	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:55:59%20GMT	http://192.168.0.92/index.php/blog/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/blog/index.html	(from http://192.168.0.92/)
19:56:00	21737/21737	U-----	200	untouched ('')	image/jpeg	etag:%2254e9-5ba0e1856c96f%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/computer-2569652.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/computer-2569652.jpg	(from http://192.168.0.92/)
19:56:00	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2018:56:00%20GMT	http://192.168.0.92/%22http://192.168.0.92/wp-content/themes/mesmerize/assets/images/home_page_header-3.jpg%22	D:/proretia.it_static/proretia.it/192.168.0.92/_http_/192.168.0.92/wp-content/themes/mesmerize/assets/images/home_page_header-3.html	(from http://192.168.0.92/)
19:56:00	17622/17622	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:00%20GMT	http://192.168.0.92/index.php/sample-page/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/sample-page/index.html	(from http://192.168.0.92/)
19:56:00	28992/28992	U-----	200	untouched ('')	image/jpeg	etag:%227140-5ba0e1855eeaf%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/apple-1838564.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/apple-1838564.jpg	(from http://192.168.0.92/)
19:56:01	20268/20268	U-----	200	untouched ('')	image/jpeg	etag:%224f2c-5ba0e1859a7cf%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-1.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-1.jpg	(from http://192.168.0.92/)
19:56:01	20128/20128	U-----	200	untouched ('')	image/jpeg	etag:%224ea0-5ba0e185aefef%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-5.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-5.jpg	(from http://192.168.0.92/)
19:56:01	52439/52439	U-----	200	untouched ('')	image/jpeg	etag:%22ccd7-5ba0e1857272f%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/laptop-2559795.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/laptop-2559795.jpg	(from http://192.168.0.92/)
19:56:01	21831/21831	U-----	200	untouched ('')	image/jpeg	etag:%225547-5ba0e185a058f%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-2.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-2.jpg	(from http://192.168.0.92/)
19:56:01	17464/17464	U-----	200	untouched ('')	image/jpeg	etag:%224438-5ba0e185a440f%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-3.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-3.jpg	(from http://192.168.0.92/)
19:56:01	26851/26851	U-----	200	untouched ('')	image/jpeg	etag:%2268e3-5ba0e185b3e0f%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-6.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-6.jpg	(from http://192.168.0.92/)
19:56:01	38696/38696	U-----	200	untouched ('')	image/jpeg	etag:%229728-5ba0e185b9bcf%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-7.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-7.jpg	(from http://192.168.0.92/)
19:56:01	17391/17391	U-----	200	untouched ('')	image/jpeg	etag:%2243ef-5ba0e185be9ef%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-8.jpg	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/images/team-8.jpg	(from http://192.168.0.92/)
19:56:02	23304/23304	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:01%20GMT	http://192.168.0.92/index.php/2020/12/22/hello-world/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/2020/12/22/hello-world/index.html	(from http://192.168.0.92/)
19:56:02	50399/50399	U--M-Z	200	updated ('OK')	application/javascript	etag:%22c4df-5ba0e1842476f-gzip%22	http://192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/assets/js/companion.bundle.min.js?ver=1.6.119	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/assets/js/companion.bundle.min90f5.js	(from http://192.168.0.92/)
19:56:02	5629/5629	U--M-Z	200	updated ('OK')	application/javascript	etag:%2215fd-5b712fc79bde3-gzip%22	http://192.168.0.92/wp-includes/js/imagesloaded.min.js?ver=4.1.4	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/imagesloaded.mineda1.js	(from http://192.168.0.92/)
19:56:02	1562/1562	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Mar%202020%2022:12:54%20GMT	http://1.gravatar.com/avatar/d7a973c7dab26985da5f961be7b74480?s=32&d=mm&r=g	D:/proretia.it_static/proretia.it/1.gravatar.com/avatar/d7a973c7dab26985da5f961be7b744804b34.png	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:02	24138/24138	U--M-Z	200	updated ('OK')	application/javascript	etag:%225e4a-5b712fc7d9640-gzip%22	http://192.168.0.92/wp-includes/js/masonry.min.js?ver=4.2.2	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/masonry.min3a05.js	(from http://192.168.0.92/)
19:56:02	84752/84752	U--M-Z	200	updated ('OK')	application/javascript	etag:%2214b10-5ba0e11a4bc89-gzip%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/js/theme.bundle.min.js?ver=1.6.105	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/js/theme.bundle.min7403.js	(from http://192.168.0.92/)
19:56:02	1426/1426	U--M-Z	200	updated ('OK')	application/javascript	etag:%22592-5bc2be70dd4f8-gzip%22	http://192.168.0.92/wp-includes/js/wp-embed.min.js?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/wp-embed.mine23c.js	(from http://192.168.0.92/)
19:56:03	165742/165742	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%222876e-5ba0e118ceec9%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont.eot?v=4.7.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont3e6e.eot	(from http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105)
19:56:03	165742/165742	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%222876e-5ba0e118ceec9%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont.eot?	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfontd41d.eot	(from http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105)
19:56:03	77160/77160	U-----	200	untouched ('OK')	text/html	etag:%2212d68-5ba0e118f8ea9%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont3e6e.html	(from http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105)
19:56:03	98024/98024	U-----	200	untouched ('')	application/font-woff	etag:%2217ee8-5ba0e118f11a9%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont.woff?v=4.7.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont3e6e.woff	(from http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105)
19:56:03	28083/28083	U-----	200	untouched ('')	image/png	etag:%226db3-5ba0e1196c269%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/images/header-shapes/circles.png	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/images/header-shapes/circles.png	(from http://192.168.0.92/index.php/blog/)
19:56:03	444379/444379	U-----	200	untouched ('OK')	image/svg+xml	etag:%226c7db-5ba0e118dd929%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont.svg?v=4.7.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont3e6e.svg	(from http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105)
19:56:03	165548/165548	U-----	200	untouched ('')	application/font-sfnt	etag:%22286ac-5ba0e118e7569%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/fonts/fontawesome-webfont3e6e.ttf	(from http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105)
19:56:03	19511/19511	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:03%20GMT	http://192.168.0.92/index.php/2020/12/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/2020/12/index.html	(from http://192.168.0.92/index.php/blog/)
19:56:04	19870/19870	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:03%20GMT	http://192.168.0.92/index.php/category/uncategorized/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/category/uncategorized/index.html	(from http://192.168.0.92/index.php/blog/)
19:56:04	7849/7849	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:03%20GMT	http://192.168.0.92/wp-login.php	D:/proretia.it_static/proretia.it/192.168.0.92/wp-login.html	(from http://192.168.0.92/index.php/blog/)
19:56:04	646/646	---M--	200	added ('OK')	application/json	date:Mon,%2015%20Mar%202021%2018:56:03%20GMT	http://192.168.0.92/index.php/wp-json/wp/v2/categories/1	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/wp/v2/categories/1.json	(from http://192.168.0.92/index.php/category/uncategorized/)
19:56:04	744/744	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%2264b7178497d80dd2ff283518a50debc2-gzip%22	http://192.168.0.92/index.php/sample-page/feed/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/sample-page/feed/index.html	(from http://192.168.0.92/index.php/sample-page/)
19:56:04	2846/2846	U-----	200	untouched ('')	application/json	date:Mon,%2015%20Mar%202021%2018:48:24%20GMT	http://192.168.0.92/index.php/wp-json/wp/v2/pages/2	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/wp/v2/pages/2.json	(from http://192.168.0.92/index.php/sample-page/)
19:56:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2018:56:04%20GMT	http://192.168.0.92/?p=2	D:/proretia.it_static/proretia.it/192.168.0.92/index905b.html	(from http://192.168.0.92/index.php/sample-page/)
19:56:05	2279/2279	U-----	200	untouched ('')	application/json	date:Mon,%2015%20Mar%202021%2018:48:25%20GMT	http://192.168.0.92/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2F192.168.0.92%2Findex.php%2Fsample-page%2F	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/oembed/1.0/embed3280.json	(from http://192.168.0.92/index.php/sample-page/)
19:56:05	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2015%20Mar%202021%2018:56:04%20GMT	http://192.168.0.92/xmlrpc.php	D:/proretia.it_static/proretia.it/192.168.0.92/xmlrpc.php	(from http://192.168.0.92/index.php/sample-page/)
19:56:05	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2015%20Mar%202021%2018:56:04%20GMT	http://192.168.0.92/wp-admin/	D:/proretia.it_static/proretia.it/192.168.0.92/wp-admin/index.html	(from http://192.168.0.92/index.php/sample-page/)
19:56:05	1684/1684	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%2264b7178497d80dd2ff283518a50debc2-gzip%22	http://192.168.0.92/index.php/2020/12/22/hello-world/feed/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/2020/12/22/hello-world/feed/index.html	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2018:56:05%20GMT	http://192.168.0.92/?p=1	D:/proretia.it_static/proretia.it/192.168.0.92/indexcff1.html	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:05	1789/1789	U-----	200	untouched ('')	application/json	date:Mon,%2015%20Mar%202021%2018:48:26%20GMT	http://192.168.0.92/index.php/wp-json/wp/v2/posts/1	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/wp/v2/posts/1.json	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:06	2310/2310	U-----	200	untouched ('')	application/json	date:Mon,%2015%20Mar%202021%2018:48:27%20GMT	http://192.168.0.92/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2F192.168.0.92%2Findex.php%2F2020%2F12%2F22%2Fhello-world%2F	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/oembed/1.0/embed3b04.json	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:06	19813/19813	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:05%20GMT	http://192.168.0.92/index.php/author/aasolutions/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/author/aasolutions/index.html	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:06	23349/23349	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:05%20GMT	http://192.168.0.92/index.php/2020/12/22/hello-world/?replytocom=1	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/2020/12/22/hello-world/index6809.html	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:06	2982/2982	U--M-Z	200	updated ('OK')	application/javascript	etag:%22ba6-5bc2be70cea9e-gzip%22	http://192.168.0.92/wp-includes/js/comment-reply.min.js?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/comment-reply.mine23c.js	(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:06	187/187	---M--	200	added ('OK')	text/plain	etag:%22599703f9-bb%22	http://1.gravatar.com/robots.txt		(from http://192.168.0.92/index.php/2020/12/22/hello-world/)
19:56:07	1748/1748	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%22d7317333c258c08177750245a280b6b8-gzip%22	http://192.168.0.92/index.php/category/uncategorized/feed/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/category/uncategorized/feed/index.html	(from http://192.168.0.92/index.php/category/uncategorized/)
19:56:07	59010/59010	U--M-Z	200	updated ('OK')	text/css	etag:%22e682-5b712fc6d0bee-gzip%22	http://192.168.0.92/wp-includes/css/dashicons.min.css?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/css/dashicons.mine23c.css	(from http://192.168.0.92/wp-login.php)
19:56:07	5854/5854	U--M-Z	200	updated ('OK')	text/css	etag:%2216de-5bd96fe25a9a7-gzip%22	http://192.168.0.92/wp-includes/css/buttons.min.css?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/css/buttons.mine23c.css	(from http://192.168.0.92/wp-login.php)
19:56:07	25291/25291	U--M-Z	200	updated ('OK')	text/css	etag:%2262cb-5bd96fd4bb599-gzip%22	http://192.168.0.92/wp-admin/css/forms.min.css?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-admin/css/forms.mine23c.css	(from http://192.168.0.92/wp-login.php)
19:56:08	2477/2477	U--M-Z	200	updated ('OK')	text/css	etag:%229ad-5b712fc0bb265-gzip%22	http://192.168.0.92/wp-admin/css/l10n.min.css?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-admin/css/l10n.mine23c.css	(from http://192.168.0.92/wp-login.php)
19:56:08	5489/5489	U--M-Z	200	updated ('OK')	text/css	etag:%221571-5bd96fd528b92-gzip%22	http://192.168.0.92/wp-admin/css/login.min.css?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-admin/css/login.mine23c.css	(from http://192.168.0.92/wp-login.php)
19:56:08	2916/2916	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:56:07%20GMT	http://192.168.0.92/wp-login.php?action=lostpassword	D:/proretia.it_static/proretia.it/192.168.0.92/wp-loginc2b6.html	(from http://192.168.0.92/wp-login.php)
19:56:08	351/351	U--M-Z	200	updated ('OK')	application/javascript	etag:%2215f-5bd96ff3ca681-gzip%22	http://192.168.0.92/wp-includes/js/zxcvbn-async.min.js?ver=1.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/zxcvbn-async.min5152.js	(from http://192.168.0.92/wp-login.php)
19:56:08	99310/99310	U--M-Z	200	updated ('OK')	application/javascript	etag:%22183ee-5b712fcba9f0a-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.4.4	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill.min89b1.js	(from http://192.168.0.92/wp-login.php)
19:56:09	353/353	U--M-Z	200	updated ('OK')	application/javascript	etag:%22161-5b712fcba50ea-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-node-contains.min.js?ver=3.42.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-node-contains.min2e00.js	(from http://192.168.0.92/wp-login.php)
19:56:09	7908/7908	U--M-Z	200	updated ('OK')	application/javascript	etag:%221ee4-5bc2be70d773b-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-fetch.min.js?ver=3.0.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-fetch.min6e0e.js	(from http://192.168.0.92/wp-login.php)
19:56:09	867/867	U--M-Z	200	updated ('OK')	application/javascript	etag:%22363-5bc2be70d773b-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-dom-rect.min.js?ver=3.42.0	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-dom-rect.min2e00.js	(from http://192.168.0.92/wp-login.php)
19:56:09	7165/7165	U--M-Z	200	updated ('OK')	application/javascript	etag:%221bfd-5b712fcba31aa-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-formdata.min.js?ver=3.0.12	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-formdata.mine9bd.js	(from http://192.168.0.92/wp-login.php)
19:56:09	417/417	U--M-Z	200	updated ('OK')	application/javascript	etag:%221a1-5b712fcb9d3ea-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-element-closest.min.js?ver=2.0.2	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-element-closest.min4c56.js	(from http://192.168.0.92/wp-login.php)
19:56:09	47085/47085	U--M-Z	200	updated ('OK')	application/javascript	etag:%22b7ed-5b712fcba702a-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-url.min.js?ver=3.6.4	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-url.min5aed.js	(from http://192.168.0.92/wp-login.php)
19:56:09	2978/2978	U--M-Z	200	updated ('OK')	application/javascript	etag:%22ba2-5bd96ff212f5a-gzip%22	http://192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-object-fit.min.js?ver=2.3.4	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/dist/vendor/wp-polyfill-object-fit.min531b.js	(from http://192.168.0.92/wp-login.php)
